"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"771","Is this not appeasment @BJP4India https://t.co/KGTh5ka319",FALSE,0,NA,2018-02-27 07:31:30,FALSE,NA,"968388106058641408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jyotish25singh",0,FALSE,FALSE,NA,NA
"772","RT @BJP4India: BJP National President Shri @AmitShah is addressing a press conference in Gulbarga, Karnataka. https://t.co/qKmAP3U6eU",FALSE,0,NA,2018-02-27 07:31:27,FALSE,NA,"968388092716560384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alakhpatel9601",781,TRUE,FALSE,NA,NA
"773","@ndtv Till now @BJP4India was denying having any leader of that name in their party. When it was exposed as big fat… https://t.co/KxV8ahcmnF",FALSE,1,"ndtv",2018-02-27 07:31:25,TRUE,"968385018929311745","968388085179408384","37034483","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","KrishKrushik",0,FALSE,FALSE,NA,NA
"774","RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…",FALSE,0,NA,2018-02-27 07:30:58,FALSE,NA,"968387970486202368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sandeep23183346",212,TRUE,FALSE,NA,NA
"775","RT @CHINMAYKASHYAP5: #sscscam
@ndtv 
@aajtak 
@ZeeNews 
Plz help us
Save our future
Ye @BJP4India #PAKODA beche
End this corruption
Save SSC",FALSE,0,NA,2018-02-27 07:30:53,FALSE,NA,"968387950248644609",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KhalilRahilz",2,TRUE,FALSE,NA,NA
"776","@Saichandkoduru @KoradaRavi3 @kathimahesh @ysjagan @ncbn @INCIndia @JaiTDP @BJP4India @JanaSenaParty At least  I th… https://t.co/H4jGEnidLT",FALSE,0,"Saichandkoduru",2018-02-27 07:30:48,TRUE,"968386394509934593","968387926605344769","178699154","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","siddarthsahu1",0,FALSE,FALSE,NA,NA
"777","@sagarikaghose @Inc @BJP4India Dear Sagarika , he has been removed form the party , Strongly Condemned too",FALSE,0,"sagarikaghose",2018-02-27 07:30:48,FALSE,"968139132588515328","968387926458556417","56312411","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mallyaravindra",0,FALSE,FALSE,NA,NA
"778","RT @BJP4India: LIVE: PM Shri @narendramodi addressing the India-Korea Business Summit in Delhi. https://t.co/uFsufwiH6u",FALSE,0,NA,2018-02-27 07:30:45,FALSE,NA,"968387916769710080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PradeepGoyalCA",323,TRUE,FALSE,NA,NA
"779","RT @BJP4India: Shri @AmitShah interacts with leaders of OBC community in Gulbarga, Karnataka. #ShahInKalyanaKarnataka https://t.co/lVfU8n0A…",FALSE,0,NA,2018-02-27 07:30:45,FALSE,NA,"968387915561791489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BharatPala3",503,TRUE,FALSE,NA,NA
"780","RT @SMedia4: How long can @BJP4India survive in SM warfare with only lion hearted supporters, if media and IT cells are same washed out fac…",FALSE,0,NA,2018-02-27 07:30:41,FALSE,NA,"968387897937268736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","igayathri9",19,TRUE,FALSE,NA,NA
"781","I urge the people of Meghalaya and Nagaland to vote in large numbers in the Assembly Elections taking place today.… https://t.co/jKhG4r28gk",FALSE,1,NA,2018-02-27 07:30:32,TRUE,NA,"968387862843547648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bjp4everyindian",0,FALSE,FALSE,NA,NA
"782","@abpnewstv @BJP4India @Swamy39 Dr. Swamy will not make such statements unless he has some feedback from reliable so… https://t.co/tHyiPieFJw",FALSE,0,"abpnewstv",2018-02-27 07:30:18,TRUE,"968368091494322176","968387803888398336","39240673","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BRVIJAYSIMHA",0,FALSE,FALSE,NA,NA
"783","RT @BJP4India: LIVE: PM Shri @narendramodi addressing the India-Korea Business Summit in Delhi. https://t.co/uFsufwiH6u",FALSE,0,NA,2018-02-27 07:30:15,FALSE,NA,"968387788977721344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SiddarthNadago5",323,TRUE,FALSE,NA,NA
